iso3_country_code,date,price,country,price_type,market,commodity,currency,unit
IDN,2017-09-01,,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2017-10-01,,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2017-11-01,,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2017-12-01,,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2018-01-01,,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2018-02-01,,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2018-03-01,,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2018-04-01,,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2018-05-01,,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2018-06-01,,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2018-07-01,,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2018-08-01,,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2018-09-01,,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2018-10-01,,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2018-11-01,,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2018-12-01,,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2019-01-01,,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2019-02-01,,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2019-03-01,,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2019-04-01,,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2019-05-01,,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2019-06-01,,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2019-07-01,,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2019-08-01,,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2019-09-01,,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2019-10-01,,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2019-11-01,,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2019-12-01,,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2020-01-01,,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2020-02-01,,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2020-03-01,,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2020-04-01,,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2020-05-01,,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2020-06-01,,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2020-07-01,,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2020-08-01,,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2020-09-01,,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2020-10-01,,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2020-11-01,44464.0,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2020-12-01,45358.0,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2021-01-01,45607.0,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2021-02-01,44823.0,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2021-03-01,45271.0,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2021-04-01,47408.0,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
IDN,2021-05-01,48664.0,Indonesia,RETAIL,National Average,Chicken (meat),IDR,Kg
